firstpost_date,content
07-03-2015,"Apple's 'Graveyard,' BlackBerry's $100 Billion Opportunity &amp; More $AAPL $BBRY $TWTR  http://t.co/UlZu7a6km7"
19-03-2015,"Twitter Director Evan Clark Williams Sells 468,000 Shares $TWTR http://t.co/cZgD4vqtqB"
10-03-2015,Here's why the CEO of @dtitrader thinks there are better trades out there than $TWTR: http://t.co/6Tu1VqGYAq
15-03-2015,"SXSW: Austin, like Twitter, has its fill of Meerkat - USA TODAY http://t.co/QqPziyHvBU #Twitter • $TWTR http://t.co/x2c2vEYu71"
20-03-2015,$TWTR If it breaks 48.14 .... you know...booom... $50
08-03-2015,"Iggy Azalea Is Quitting Twitter [Update: And Instagram Too, Apparently] -… http://t.co/HMEyDge5oh #Twitter • $TWTR http://t.co/YAU5UXgFQ7"
07-03-2015,I'm Ashamed of Who I Am on Twitter - TIME http://t.co/RgyZTyjREs #Twitter • $TWTR http://t.co/b9pjZu2Nhp
03-03-2015,"Props to http://t.co/0RMLqAwVhP nailing $RESN long early today before big spike now $EYES short before big panic, congrats to $FB $TWTR subs"
19-03-2015,RT @OpenOutcrier: Chatter in $TWTR that Dan Loeb wants to oust Costello
15-03-2015,What Twitter Bulls Should Do Now http://t.co/8Wh69m51Vd via @barronsonline $twtr
